Data,Reservas
05/01/2020,100
06/01/2020,101.62585623179277
07/01/2020,103.45642075427133
08/01/2020,105.44051649476418
09/01/2020,106.92465160223605
10/01/2020,108.02692701362098
11/01/2020,109.1252657271081
12/01/2020,109.94803558774899
13/01/2020,112.01086528619794
14/01/2020,114.40044091016455
15/01/2020,116.45539721281789
16/01/2020,117.72695063380836
17/01/2020,119.41579403196599
18/01/2020,120.34485473584758
19/01/2020,121.04558696165657
20/01/2020,123.15172033698134
21/01/2020,125.49799228407213
22/01/2020,127.82458074167388
23/01/2020,129.72994252421068
24/01/2020,131.91480985749152
25/01/2020,132.5722384064247
26/01/2020,133.24935044484687
27/01/2020,135.18226911266828
28/01/2020,136.65459412644674
29/01/2020,138.68593024171327
30/01/2020,140.25273600503897
31/01/2020,141.11093614676008
01/02/2020,141.6856940398394
02/02/2020,142.20140146445161
03/02/2020,144.29572474608298
04/02/2020,146.11447917486814
05/02/2020,147.99622077001811
06/02/2020,149.30714116998664
07/02/2020,150.61412487205732
08/02/2020,151.19675616093221
09/02/2020,151.76364065821591
10/02/2020,153.18872529722069
11/02/2020,155.30273206834107
12/02/2020,156.62546256200298
13/02/2020,158.56625462562005
14/02/2020,159.54649240217304
15/02/2020,160.13306038894575
16/02/2020,160.77080544838989
17/02/2020,162.35729470120464
18/02/2020,164.03826470356665
19/02/2020,165.53420990473191
20/02/2020,167.04196519959058
21/02/2020,167.94740571608534
22/02/2020,168.41587276592395
23/02/2020,168.92370679474058
24/02/2020,169.56538855208251
25/02/2020,170.31729785056294
26/02/2020,171.23848515864893
27/02/2020,171.92347059286669
28/02/2020,172.15967246673492
29/02/2020,172.18329265412171
01/03/2020,172.15967246673492
02/03/2020,172.18329265412171
03/03/2020,172.46279820486578
04/03/2020,172.92339185890876
05/03/2020,173.34461853397372
06/03/2020,173.86032595858595
07/03/2020,174.16345169671681
09/03/2020,174.25793244626408
10/03/2020,174.33666640422015
11/03/2020,174.20281867569483
12/03/2020,173.57294701204631
13/03/2020,173.90362963546178
14/03/2020,172.34863396582946
15/03/2020,171.03377686796316
16/03/2020,170.16770333044641
17/03/2020,169.455161010944
18/03/2020,167.55767262420284
19/03/2020,164.78623730414927
20/03/2020,161.97149830721992
21/03/2020,157.806471931344
22/03/2020,155.63735138965436
23/03/2020,155.1925045272026
24/03/2020,154.21620344854736
25/03/2020,148.69301629792929
26/03/2020,144.43350917250609
27/03/2020,139.35910558223762
28/03/2020,135.57200220455084
29/03/2020,132.72970632233682
30/03/2020,132.32816313676088
31/03/2020,131.64711440044093
01/04/2020,129.89922053381625
02/04/2020,126.95063380836156
03/04/2020,124.62010865286197
04/04/2020,121.54554759467757
05/04/2020,119.07723801275489
06/04/2020,118.46311314069757
07/04/2020,116.36878985906623
08/04/2020,114.0933784741359
09/04/2020,107.38130855838124
10/04/2020,105.14132745453114
11/04/2020,97.968663884733488
12/04/2020,90.973151720336972
13/04/2020,86.67427761593575
14/04/2020,85.674356349893714
15/04/2020,81.040862924179208
16/04/2020,69.175655460199991
17/04/2020,65.443665853082436
18/04/2020,61.337689945673567
19/04/2020,58.042673805212189
20/04/2020,56.530981812455707
21/04/2020,55.578300921187306
22/04/2020,53.263522557278954
23/04/2020,51.279426816786078
24/04/2020,45.441303834343749
25/04/2020,42.055743642232891
26/04/2020,40.855050783402881
27/04/2020,40.422014014644517
28/04/2020,40.099204787024647
29/04/2020,38.851271553420986
30/04/2020,37.146681363672151
