Data,Reservas
1578182400000,100
1578268800000,101.62585623179277
1578355200000,103.45642075427133
1578441600000,105.44051649476418
1578528000000,106.92465160223605
1578614400000,108.02692701362098
1578700800000,109.1252657271081
1578787200000,109.94803558774899
1578873600000,112.01086528619794
1578960000000,114.40044091016455
1579046400000,116.45539721281789
1579132800000,117.72695063380836
1579219200000,119.41579403196599
1579305600000,120.34485473584758
1579392000000,121.04558696165657
1579478400000,123.15172033698134
1579564800000,125.49799228407213
1579651200000,127.82458074167388
1579737600000,129.72994252421068
1579824000000,131.91480985749152
1579910400000,132.5722384064247
1579996800000,133.24935044484687
1580083200000,135.18226911266828
1580169600000,136.65459412644674
1580256000000,138.68593024171327
1580342400000,140.25273600503897
1580428800000,141.11093614676008
1580515200000,141.6856940398394
1580601600000,142.20140146445161
1580688000000,144.29572474608298
1580774400000,146.11447917486814
1580860800000,147.99622077001811
1580947200000,149.30714116998664
1581033600000,150.61412487205732
1581120000000,151.19675616093221
1581206400000,151.76364065821591
1581292800000,153.18872529722069
1581379200000,155.30273206834107
1581465600000,156.62546256200298
1581552000000,158.56625462562005
1581638400000,159.54649240217304
1581724800000,160.13306038894575
1581811200000,160.77080544838989
1581897600000,162.35729470120464
1581984000000,164.03826470356665
1582070400000,165.53420990473191
1582156800000,167.04196519959058
1582243200000,167.94740571608534
1582329600000,168.41587276592395
1582416000000,168.92370679474058
1582502400000,169.56538855208251
1582588800000,170.31729785056294
1582675200000,171.23848515864893
1582761600000,171.92347059286669
1582848000000,172.15967246673492
1582934400000,172.18329265412171
1583020800000,172.15967246673492
1583107200000,172.18329265412171
1583193600000,172.46279820486578
1583280000000,172.92339185890876
1583366400000,173.34461853397372
1583452800000,173.86032595858595
1583539200000,174.16345169671681
1583712000000,174.25793244626408
1583798400000,174.33666640422015
1583884800000,174.20281867569483
1583971200000,173.57294701204631
1584057600000,173.90362963546178
1584144000000,172.34863396582946
1584230400000,171.03377686796316
1584316800000,170.16770333044641
1584403200000,169.455161010944
1584489600000,167.55767262420284
1584576000000,164.78623730414927
1584662400000,161.97149830721992
1584748800000,157.806471931344
1584835200000,155.63735138965436
1584921600000,155.1925045272026
1585008000000,154.21620344854736
1585094400000,148.69301629792929
1585180800000,144.43350917250609
1585267200000,139.35910558223762
1585353600000,135.57200220455084
1585440000000,132.72970632233682
1585526400000,132.32816313676088
1585612800000,131.64711440044093
1585699200000,129.89922053381625
1585785600000,126.95063380836156
1585872000000,124.62010865286197
1585958400000,121.54554759467757
1586044800000,119.07723801275489
1586131200000,118.46311314069757
1586217600000,116.36878985906623
1586304000000,114.0933784741359
1586390400000,107.38130855838124
1586476800000,105.14132745453114
1586563200000,97.968663884733488
1586649600000,90.973151720336972
1586736000000,86.67427761593575
1586822400000,85.674356349893714
1586908800000,81.040862924179208
1586995200000,69.175655460199991
1587081600000,65.443665853082436
1587168000000,61.337689945673567
1587254400000,58.042673805212189
1587340800000,56.530981812455707
1587427200000,55.578300921187306
1587513600000,53.263522557278954
1587600000000,51.279426816786078
1587686400000,45.441303834343749
1587772800000,42.055743642232891
1587859200000,40.855050783402881
1587945600000,40.422014014644517
1588032000000,40.099204787024647
1588118400000,38.851271553420986
1588204800000,37.146681363672151
